no_ua,nom,nom_clean,type,entite,lits,lits_geriatrie,lits_psy_age,lits_mixte,lits_psy_adulte,commentaire,lat,lon,geo_source,ofs,commune
394,RENAISSANCE LE PARC EMS,Renaissance Le Parc,EMS,RENAISSANCE LE PARC SA,24,24.0,,,,,,,,,
396,PHARE ELIM EMS,Phare Elim,EMS,ARMEE DU SALUT ELIM SA,44,44.0,,,,,46.4518224,6.8609663,OSM,5889,La Tour-de-Peilz
400,BERGES LEMAN (MAGNIN) EMS,Berges Leman,EMS,FONDATION CLAIRE MAGNIN,35,35.0,,,,,46.90673065185547,7.044142246246338,adresse,5451,Avenches
405,MAURICE BUGNON (SAPHIR) EMS,Maurice Bugnon,EMS,FONDATION SAPHIR,93,93.0,,,,,46.22048568725586,7.005281448364258,adresse,5402,Bex
409,LEMAN EMS,Leman,EMS,FONDATION RESIDENCE DU LEMAN,46,46.0,,,,,46.318359375,6.896126747131348,adresse,5415,Yvorne
442,GAMBETTA EMS,Gambetta,EMS,FONDATION GAMBETTA,45,45.0,,,,,46.44069290161133,6.895810604095459,adresse,5886,Montreux
446,MEILLERIE (ROZAVERE) EMS,Meillerie,EMS,FONDATION LA ROZAVERE,26,26.0,,,,,46.513571,6.6386538,OSM,5586,Lausanne
457,BYRON (TERTIANUM) EMS,Byron,EMS,TERTIANUM VAUD SA,42,42.0,,,,,46.40200424194336,6.927892684936523,adresse,5414,Villeneuve (VD)
471,PARC VALENCY (PLAINE) EMS,Parc Valency,EMS,FONDATION DE LA PLAINE,20,20.0,,,,,46.527130126953125,6.615554332733154,adresse,5586,Lausanne
486,JARDINS PLAINE (PLAINE) EMS,Jardins Plaine,EMS,FONDATION DE LA PLAINE,61,61.0,,,,,46.18474197387695,6.008272171020508,adresse,5723,Mies
489,GRACIEUSE EMS NON RIP,Gracieuse Non Rip,EMS,LE PARC SA,41,41.0,,,,,46.62034225463867,7.14158821105957,adresse,5843,Rougemont
493,TREMIERES EMS,Tremieres,EMS,RESIDENCE LES TREMIERES SA,28,28.0,,,,,46.605716705322266,6.4516425132751465,adresse,5475,Chavannes-le-Veyron
502,GRANDE FONTAINE (MRDA) EMS,Grande Fontaine,EMS,FONDATION DES MAISONS DE RETRAITE DU DISTRICT D'AIGLE,84,84.0,,,,,46.58518600463867,6.506763458251953,adresse,5484,Gollion
503,PRE PARISET (PRE PARISET) EMS,Pre Pariset,EMS,FONDATION PRE PARISET,82,82.0,,,,,,,,,
509,ODYSSE (ODYSSE) EMS,Odysse,EMS,RESIDENCES ODYSSE SA,53,53.0,,,,,,,,,
516,PALMIERS (BALCONS DU LAC) EMS,Palmiers,EMS,FONDATION BALCONS DU LAC,43,43.0,,,,,,,,,
519,PAIX DU SOIR SPAH,Paix Du Soir Spah,EMS,ASSOCIATION LA PAIX DU SOIR,30,30.0,,,,,46.494266510009766,6.716559410095215,adresse,5613,Bourg-en-Lavaux
520,PACIFIC convention RSLC,Pacific Convention Rslc,EMS,TERTIANUM ROMANDIE SA,80,80.0,,,,,,,,,
523,NOVA VITA EMS NON RIP,Nova Vita Non Rip,EMS,NOVA VITA RESIDENZ MONTREUX SA,10,10.0,,,,,46.4308142,6.9098476,OSM,5886,Montreux
525,PRE DE LA TOUR (PRE PARISET) EMS,Pre De La Tour,EMS,FONDATION PRE PARISET,50,50.0,,,,,46.51179504394531,6.658667087554932,adresse,5590,Pully
528,SAUVABELIN (BOIS-GENTIL) EMS,Sauvabelin,EMS,FONDATION BOIS-GENTIL,56,56.0,,,,,46.54972457885742,6.636134624481201,adresse,5587,Le Mont-sur-Lausanne
536,ROZAVERE SPAH,Rozavere Spah,EMS,FONDATION ROZAVERE,30,30.0,,,,,46.5298349,6.6550918,OSM,5586,Lausanne
208,PINS (LE HOME-LES PINS) EMS,Pins,EMS,EMS LE HOME - LES PINS SA,60,,60.0,,,,46.419090270996094,6.270072937011719,adresse,5721,Gland
236,LUSIADES JBC EMS,Lusiades Jbc,EMS,J3C EMS SA,29,,29.0,,,,,,,,
249,MONTBRILLANT (EBEN-HEZER) EMS,Montbrillant,EMS,FONDATION EBEN-HEZER,37,,37.0,,,,,,,,
261,ETOILE MATIN (MAGNIN) EMS,Etoile Matin,EMS,FONDATION CLAIRE MAGNIN,20,,20.0,,,,46.4844444,6.8478271,OSM,5885,Jongny
263,PERGOLAS (MAGNIN) EMS,Pergolas,EMS,FONDATION CLAIRE MAGNIN,30,,30.0,,,,,,,,
300,ORME (ORME) EMS,Orme,EMS,FONDATION DE L'ORME,100,,100.0,,,,46.25149917602539,7.013433456420898,adresse,5402,Bex
314,BRU (BRU) EMS,Bru,EMS,EMS BRU SA,20,,20.0,,,,,,,,
350,HOME (LE HOME-LES PINS) EMS,Home,EMS,EMS LE HOME - LES PINS SA,31,,31.0,,,,,,,,
363,CLEF CHAMPS (BELLE SAISON) EMS,Clef Champs,EMS,FONDATION BELLE SAISON,50,,50.0,,,,,,,,
370,GIRARDE (RELAIS) EMS,Girarde,EMS,FONDATION DU RELAIS,62,,62.0,,,,46.5498452,6.674802,OSM,5584,Epalinges
384,NOVALLES JBC EMS,Novalles Jbc,EMS,LES NOVALLES SA,21,,21.0,,,,46.825252532958984,6.600762367248535,adresse,5564,Novalles
401,DOUVAZ (SAPHIR) EMS,Douvaz,EMS,FONDATION SAPHIR,32,,32.0,,,,46.84916305541992,6.618679046630859,adresse,5571,Tévenon
424,EAUDINE (TERTIANUM) EMS,Eaudine,EMS,TERTIANUM VAUD SA,50,,50.0,,,,46.42319107055664,6.925790786743164,adresse,5886,Montreux
443,VICTORIA (ODYSSE) EMS,Victoria,EMS,RESIDENCES ODYSSE SA,30,,30.0,,,,46.298973083496094,7.056268215179443,adresse,5409,Ollon
448,MONT-RIANT (SAPHIR) EMS,Mont-Riant,EMS,FONDATION SAPHIR,56,,56.0,,,,,,,,
481,ORIEL (ROZAVERE) EMS,Oriel,EMS,FONDATION LA ROZAVERE,37,,37.0,,,,,,,,
483,MERIDIENNE (PRIMEROSE) EMS,Meridienne,EMS,FONDATION LA PRIMEROSE,14,,14.0,,,,,,,,
497,LA SARRAZ (VENOGE) EMS,La Sarraz,EMS,FONDATION LA VENOGE,32,,32.0,,,,46.653289794921875,6.5119452476501465,adresse,5498,La Sarraz
513,LYS (PRIMEROCHE) EMS,Lys,EMS,FONDATION PRIMEROCHE,66,,66.0,,,,,,,,
515,OURS (COGEST'EMS) EMS,Ours,EMS,FONDATION COGEST'EMS,40,,40.0,,,,46.4738487,7.1299573,OSM,5841,Château-d'Oex
524,DONATELLA MAURI EMS,Donatella Mauri,EMS,FONDATION DONATELLA MAURI,57,,57.0,,,,46.5615972,6.6015465,OSM,5592,Romanel-sur-Lausanne
526,BOURG (TERTIANUM) EMS,Bourg,EMS,TERTIANUM VAUD SA,45,,45.0,,,,46.656856536865234,6.8082733154296875,adresse,5665,Chavannes-sur-Moudon
532,PRERISA EMS,Prerisa,EMS,FONDATION PRERISA,44,,44.0,,,,46.70362091064453,6.837488174438477,adresse,5675,Lucens
533,FLON (RELAIS) EMS,Flon,EMS,FONDATION DU RELAIS,24,,24.0,,,,46.5927734375,6.862234115600586,adresse,5805,Oron
538,PRE FLEURI (NECC SA) EMS,Pre Fleuri,EMS,NECC SA,53,,53.0,,,,46.4518224,6.8609663,OSM,5889,La Tour-de-Peilz
841,LA ROSIERE (BELLE SAISON) EMS,La Rosiere,EMS,FONDATION BELLE SAISON,76,,76.0,,,Passe du CHUV à la Fondation Belle Saison au 01.01.2024,46.5298349,6.6550918,OSM,5586,Lausanne
20,HOPITAL LAVAUX,Hopital Lavaux,EMS,FONDATION DE L'HOPITAL DE LAVAUX CULLY,32,,,32.0,,,46.4905264,6.7253543,OSM,5613,Bourg-en-Lavaux
129,SAMS SILO (SILO) EMS,Sams Silo,EMS,FONDATION SILO,30,,,30.0,,,46.5337028503418,6.583981037139893,adresse,5591,Renens (VD)
130,MONTCHOISI (SAPHIR) EMS,Montchoisi,EMS,FONDATION SAPHIR,84,,,84.0,,,46.794532775878906,6.750093460083008,adresse,5939,Yvonand
201,BETHANIE EMS,Bethanie,EMS,"INSTITUTION DE BETHANIE, A LAUSANNE",119,,,119.0,,,46.82575988769531,6.807598114013672,adresse,5928,Rovray
205,PLEIN SOLEIL EMS,Plein Soleil,EMS,FONDATION INSTITUTION DE LAVIGNY,68,,,68.0,,,,,,,
215,MAISON DES BOSQUETS EMS,Maison Des Bosquets,EMS,FONDATION LA MAISON DES BOSQUETS,129,,,129.0,,,46.4838714,6.8355605,OSM,5882,Chardonne
219,COLLINE EMS,Colline,EMS,FONDATION LA COLLINE,101,,,101.0,,,46.4799699,6.7770253,OSM,5601,Chexbres
223,CLAIRIERE EMS,Clairiere,EMS,"FONDATION LA CLAIRIERE, MIES",74,,,74.0,,,46.54716491699219,6.583223342895508,adresse,5583,Crissier
225,CONTESSE (SAPHIR) EMS,Contesse,EMS,FONDATION SAPHIR,36,,,36.0,,,,,,,
227,CLAIR VULLY EMS,Clair Vully,EMS,ASSOCIATION DE L'EMS CLAIR VULLY,49,,,49.0,,,46.54344940185547,6.580013751983643,adresse,5583,Crissier
240,BUGNON (CLEMENCE) EMS,Bugnon,EMS,FONDATION CLEMENCE,56,,,56.0,,,,,,,
330,SILO (SILO) EMS,Silo,EMS,FONDATION SILO,108,,,108.0,,,46.5337028503418,6.583981037139893,adresse,5591,Renens (VD)
347,GOUMOENS (CHATEAUX) EMS,Goumoens,EMS,FONDATION LES CHATEAUX,56,,,56.0,,,46.65887451171875,6.602913856506348,adresse,5541,Goumoëns
390,HOME SALEM (EBEN-HEZER) EMS,Home Salem,EMS,FONDATION EBEN-HEZER,97,,,97.0,,,46.60121154785156,7.105752944946289,adresse,5841,Château-d'Oex
427,GENTIANES (PSPE) EMS,Gentianes,EMS,PÔLE SANTÉ DU PAYS-D’ENHAUT,50,,,50.0,,,46.18994140625,6.843666076660156,adresse,5402,Bex
434,BELLEVUE (BELLE SAISON) EMS,Bellevue,EMS,FONDATION BELLE SAISON,68,,,68.0,,,46.919029235839844,6.783768653869629,adresse,5566,Provence
455,VEILLEE EMS,Veillee,EMS,LA VEILLEE SA,37,,,37.0,,,46.513571,6.6386538,OSM,5586,Lausanne
488,GOTTAZ NON RIP,Gottaz Non Rip,EMS,TERTIANUM ROMANDIE SA,33,,,33.0,,,46.16991424560547,6.075931549072266,adresse,5723,Mies
496,VERNIE (PRIMEROSE) EMS,Vernie,EMS,FONDATION LA PRIMEROSE,75,,,30.0,45.0,45 lits EPSM depuis le 01.01.2024,46.5780263,6.6033932,OSM,5586,Lausanne
501,PRELAZ (CLEMENCE) EMS,Prelaz,EMS,FONDATION CLEMENCE,93,,,93.0,,,46.3866081237793,6.23645544052124,adresse,5724,Nyon
506,OASIS MOUDON EMS,Oasis Moudon,EMS,ASSOCIATION DU CENTRE INTERCOMMUNAL DE SANTE L'OASIS,77,,,77.0,,,46.171287536621094,7.222367286682129,adresse,5402,Bex
508,RIVE CHATEAU EMS,Rive Chateau,EMS,CHÂTEAU DE LA RIVE SA,103,,,103.0,,,46.25398635864258,6.204068660736084,adresse,5723,Mies
537,GRAND-PRE (PRIMEROCHE) EMS,Grand-Pre,EMS,FONDATION PRIMEROCHE,48,,,48.0,,,46.5498452,6.674802,OSM,5584,Epalinges
539,LEMBAZ (NOISETIERS) EMS,Lembaz,EMS,FONDATION LES NOISETIERS,50,,,50.0,,,46.76313400268555,6.8844404220581055,adresse,5831,Valbroye
540,PARC DE BEAUSOBRE (EHC) EMS,Parc De Beausobre,EMS,ENSEMBLE HOSPITALIER DE LA COTE (EHC),82,,,82.0,,,46.5161612,6.4978725,OSM,5642,Morges
541,JARDINS LEMAN (GHOL) EMS,Jardins Leman,EMS,GROUPEMENT HOSPITALIER DE L'OUEST LEMANIQUE SA (GHOL),51,,,51.0,,,46.5414924621582,6.770887851715088,adresse,5604,Forel (Lavaux)
556,CHOCOLATIERE (PLAINE) EMS,Chocolatiere,EMS,FONDATION DE LA PLAINE,44,,,44.0,,,46.5378303527832,6.546320915222168,adresse,5633,Echandens
557,ARBRE DE VIE (RSBJ) EMS,Arbre De Vie,EMS,RESEAU SANTE BALCON DU JURA.VD,70,,,70.0,,,46.8197837,6.4949508,OSM,5568,Sainte-Croix
563,LES HIRONDELLES (MAGNIN) EMS,Les Hirondelles,EMS,FONDATION CLAIRE MAGNIN,93,,,71.0,22.0,22 lits EPSM depuis le 01.01.2024,,,,,
564,RIVE NEUVE EMS,Rive Neuve,EMS,FONDATION RIVE NEUVE,6,,,6.0,,,,,,,
565,CHENE (BELLE SAISON) EMS,Chene,EMS,FONDATION BELLE SAISON,56,,,56.0,,,46.74111557006836,7.087912559509277,adresse,5830,Villarzel
131,ROSE DES VENTS (DEO GRATIAS) EPSM,Rose Des Vents,EPSM,FONDATION DEO GRATIAS,15,,,,15.0,,,,,,
217,CPSE ALEXANDRA EPSM,Cpse Alexandra,EPSM,CPSE ALEXANDRA SARL,17,,,,17.0,,,,,,
254,RUCHONNET (BOIS-GENTIL) EPSM,Ruchonnet,EPSM,FONDATION BOIS-GENTIL,23,,,,23.0,,46.517791748046875,6.627490520477295,adresse,5586,Lausanne
255,VALLON (BOIS-GENTIL) EPSM,Vallon,EPSM,FONDATION BOIS-GENTIL,32,,,,32.0,,,,,,
260,BORDE (SISP) EPSM,Borde,EPSM,SISP SA,25,,,,25.0,,46.52680587768555,6.633471488952637,adresse,5586,Lausanne
302,TILLEULS (PLAINE) EPSM,Tilleuls,EPSM,FONDATION DE LA PLAINE,27,,,,27.0,,46.928955078125,6.639471054077148,adresse,5566,Provence
303,CLOS BERCHER EPSM,Clos Bercher,EPSM,CLOS BERCHER SA,27,,,,27.0,,46.688934326171875,6.7051849365234375,adresse,5512,Bercher
313,BRU (BRU) EPSM,Bru,EPSM,EMS BRU SA,61,,,,61.0,,,,,,
321,COLOMBIERE (SAPHIR) EPSM,Colombiere,EPSM,FONDATION SAPHIR,15,,,,15.0,,46.39278030395508,6.804192543029785,adresse,5408,Noville
324,PRE CARRE (SAPHIR) EPSM,Pre Carre,EPSM,FONDATION SAPHIR,18,,,,18.0,,,,,,
343,CHAMP FLEURI EPSM,Champ Fleuri,EPSM,FONDATION CHAMP FLEURI,38,,,,38.0,,46.77278518676758,7.075920581817627,adresse,5451,Avenches
348,MAISON COLLONGES (ORPHEE) EPSM,Maison Collonges,EPSM,LA MAISON D'ORPHEE SA,15,,,,15.0,,46.17258834838867,7.034959316253662,adresse,5406,Lavey-Morcles
357,MAISON ORPHEE (ORPHEE) EPSM,Maison Orphee,EPSM,LA MAISON D'ORPHEE SA,25,,,,25.0,,46.48439025878906,6.831766605377197,adresse,5882,Chardonne
361,ROND POINT (COGEST'EMS) EPSM,Rond Point,EPSM,FONDATION COGEST'EMS,43,,,,43.0,Ouverture prévue en mars 2024,46.6047455,6.2366961,OSM,5872,Le Chenit
362,SANS SOUCI (PLAINE) EPSM,Sans Souci,EPSM,FONDATION DE LA PLAINE,35,,,,35.0,,,,,,
365,MYOSOTIS (STANISLAS) EPSM,Myosotis,EPSM,FONDATION STANISLAS,32,,,,32.0,,46.799015045166016,6.6114115715026855,adresse,5933,Valeyres-sous-Montagny
376,SYLVABELLE (PLAINE) EPSM,Sylvabelle,EPSM,FONDATION DE LA PLAINE,26,,,,26.0,,,,,,
388,DUC (NOISETIERS) EPSM,Duc,EPSM,FONDATION LES NOISETIERS,24,,,,24.0,,,,,,
441,AUBEPINES (SISP) EPSM,Aubepines,EPSM,SISP SA,18,,,,18.0,,46.64713668823242,6.637657642364502,adresse,5537,Villars-le-Terroir
476,MIDI FOYER (SISP) EPSM,Midi Foyer,EPSM,SISP SA,12,,,,12.0,,,,,,
478,PRAZ SECHAUD II (PLAINE) EPSM,Praz Sechaud Ii,EPSM,FONDATION DE LA PLAINE,18,,,,18.0,,46.537845611572266,6.664053440093994,adresse,5586,Lausanne
514,TERRASSE (PRIMEROSE) EPSM,Terrasse,EPSM,FONDATION LA PRIMEROSE,24,,,,24.0,,46.4626579284668,6.846121788024902,adresse,5890,Vevey
517,RESIDENCE SOLEIL (MAGNIN) EPSM,Residence Soleil,EPSM,FONDATION CLAIRE MAGNIN,40,,,,40.0,,,,,,
521,CHANELLA (COGEST'EMS) EPSM,Chanella,EPSM,FONDATION COGEST'EMS(fermeture),21,,,,21.0,Fermeture prévue en mars 2024,46.46919631958008,7.084489822387695,adresse,5842,Rossinière
522,POMMERAIE (COGEST'EMS) EPSM,Pommeraie,EPSM,FONDATION COGEST'EMS,13,,,,13.0,,46.17009353637695,7.1873393058776855,adresse,5402,Bex
527,BETHEL (PRAZ-SOLEIL) EPSM,Bethel,EPSM,FONDATION PRAZ-SOLEIL,22,,,,22.0,,,,nom,5758,La Praz
530,ESCAPADE (PLAINE) EPSM,Escapade,EPSM,FONDATION DE LA PLAINE,19,,,,19.0,Passe de EMS à EPSM au 01.01.2024,46.201839447021484,6.877373218536377,adresse,5402,Bex
534,SOLEIL LEVANT (LEVANT) EPSM,Soleil Levant,EPSM,FONDATION DU LEVANT,12,,,,12.0,,46.5894660949707,6.9193010330200195,adresse,5790,Maracon
544,THIELE (SIMONIN) EPSM,Thiele,EPSM,FONDATION SIMONIN,18,,,,18.0,,46.781211853027344,6.6371965408325195,adresse,5938,Yverdon-les-Bains
545,LYS (LEVANT) EPSM,Lys,EPSM,FONDATION DU LEVANT,20,,,,20.0,,,,,,
546,ENVOL MORGES (APSIP) EPSM,Envol Morges,EPSM,ACCOMPAGNEMENT PSYCHOSOCIAL ET D'INSERTION PROFESSIONNELLE (APSIP),9,,,,9.0,,,,nom,5642,Morges
547,ENVOL YVERDON (APSIP) EPSM,Envol Yverdon,EPSM,ACCOMPAGNEMENT PSYCHOSOCIAL ET D'INSERTION PROFESSIONNELLE (APSIP),9,,,,9.0,,,,,,
549,CROISEE JOUX ABBAYE EPSM,Croisee Joux Abbaye,EPSM,FONDATION LA CROISEE DE JOUX DE L'ABBAYE,19,,,,19.0,,,,,,
551,ROUVRAIE (DEO GRATIAS) EPSM,Rouvraie,EPSM,FONDATION DEO GRATIAS,15,,,,15.0,,46.5298349,6.6550918,OSM,5586,Lausanne
553,ROTILLON (ORME) EPSM,Rotillon,EPSM,FONDATION DE L'ORME,21,,,,21.0,,46.52048110961914,6.63409948348999,adresse,5586,Lausanne
555,MAIEUTIQUE STE-BEUVE 4 EPSM,Maieutique Ste-Beuve 4,EPSM,FONDATION INSTITUT MAIEUTIQUE GIOVANNI MASTROPAOLO,26,,,,26.0,,46.66862106323242,6.5560221672058105,adresse,5746,Bavois
558,LES OISEAUX ACHILLE ALEX EPSM,Les Oiseaux Achille Alex,EPSM,FONDATION ACHILLE ALEXANDRE,12,,,,12.0,,,,,,
560,TRAVERSE (PLAINE) EPSM,Traverse,EPSM,FONDATION DE LA PLAINE,12,,,,12.0,,46.5298349,6.6550918,OSM,5586,Lausanne
562,ODMER (MAGNIN) EPSM,Odmer,EPSM,FONDATION CLAIRE MAGNIN,35,,,,35.0,,,,,,
566,ROCHELLE (PLAINE) EPSM,Rochelle,EPSM,FONDATION DE LA PLAINE,22,,,,22.0,,46.61970520019531,6.404848098754883,adresse,5486,L'Isle
